time / s,Au / M,Au(I)Cl2- / M,Au(II)Cl4^2- / M,Au(III)Cl4- / M,Au2Cl6^2- / M,Cl / M,Cl- / M,Cl2 / M,Cl2- / M,Cl2O / M,Cl2O2 / M,Cl2O3 / M,Cl2O4 / M,Cl3- / M,ClO / M,ClO- / M,ClO2 / M,ClO2- / M,ClO3 / M,ClO3- / M,ClOH- / M,H / M,H+ / M,H2 / M,H2O / M,H2O2 / M,HCl / M,HClO / M,HClO2 / M,HO2 / M,HO2- / M,HO3 / M,O / M,O- / M,O2 / M,O2- / M,O3 / M,O3- / M,O4 / M,OH / M,OH- / M,eh- / M
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200001,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255,0.0,0.0,0.0,0.0,0.0,1e-07,0.0
5.565121284104529e-31,0.0,0.0,7.812326457173516e-50,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.754820936639119e-28,0.0200001,4.6831955922865026e-29,55.56,1.2947658402203857e-28,0.0,0.0,0.0,2.2038567493112955e-29,9.367994174441644e-56,0.0,7.205528935341952e-62,7.235358276596317e-55,0.000255,2.5940228250700077e-51,0.0,0.0,0.0,1.0000000000000002e-27,1e-07,9.559228650137743e-28
1.1130242568209058e-30,0.0,0.0,2.343697937152055e-49,0.02,1.969987149864369e-120,0.0,3.939974299728738e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.509641873278238e-28,0.0200001,9.366391184573005e-29,55.56,2.5895316804407715e-28,0.0,0.0,0.0,4.407713498622591e-29,2.8103982523324932e-55,0.0,2.1616586806025858e-61,2.170607482978895e-54,0.000255,7.782068475210023e-51,8.18032705802572e-86,7.392772668612994e-79,0.0,2.0000000000000004e-27,1e-07,1.9118457300275486e-27
5.5662343083613504e-27,0.0,2.7413525699675983e-137,3.907725928247987e-42,0.02,6.161136535235102e-102,0.0,1.2322273070470204e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2780430363897664e-171,0.0,0.0,0.0,0.0,2.3580347228141693e-152,2.755371900826447e-24,0.0200001,4.68413223140496e-25,55.56,1.2950247933884298e-24,6.897277552253807e-141,1.1786455823134525e-170,0.0,2.2042975206611577e-25,4.6858709670955356e-48,1.1931441114311258e-117,3.6042057896239135e-54,3.619126427014226e-47,0.000255,1.297530294920703e-43,1.022950000868385e-74,9.24466314627106e-68,0.0,1.0002000000000003e-23,1e-07,9.56114049586777e-24
1.113135559246588e-26,6.0122057108548255e-176,6.857494413356996e-126,1.5627778079299696e-41,0.02,1.10861037202232e-100,1.102316506784936e-169,2.21722074404464e-100,1.22855425482858e-294,1.1642551155410903e-273,0.0,0.0,0.0,0.0,0.0,2.3615861569596103e-209,6.393410928599668e-160,0.0,0.0,0.0,0.0,1.1796069879965986e-140,5.510192837465567e-24,0.0200001,9.367327823691463e-25,55.56,2.5897906336088158e-24,1.7253542211285923e-129,5.896175114881196e-159,0.0,4.408154269972454e-25,1.873973582759289e-47,2.3867654805020528e-113,1.441394029842391e-53,1.4473610913564022e-46,0.000255,5.18908333709073e-43,6.1368815838980694e-74,5.54605825930211e-67,0.0,2.0002000000000005e-23,1e-07,1.9120369146005514e-23
1.669647687657041e-26,2.2558550133741803e-164,1.2510539714578944e-124,3.5160156687524923e-41,0.02,7.081857882905634e-100,5.514338876385721e-158,1.4163715765811268e-99,9.983063062166201e-282,9.460577091500148e-261,0.0,0.0,0.0,0.0,0.0,1.7720163263833525e-197,1.685596612902538e-158,0.0,0.0,0.0,0.0,3.1099855237347185e-139,8.265013774104686e-24,0.0200001,1.4050523415977966e-24,55.56,3.8845564738292015e-24,3.1476675304470226e-128,1.5545024265945e-157,0.0,6.61201101928375e-25,4.216159486253189e-47,1.9984030725506904e-112,3.2429203742565864e-53,3.2563453676710136e-46,0.000255,1.1674659204330766e-42,1.943195825765928e-73,1.7561162149856972e-66,0.0,3.0002000000000007e-23,1e-07,2.867959779614326e-23
7.23476897176157e-26,4.5660649786819514e-160,1.4233884143664936e-121,6.601618979143209e-40,0.02,1.7640793434676037e-96,3.9351913872537016e-154,3.5281586869352074e-96,9.010528608817604e-276,8.538942407561369e-255,0.0,0.0,0.0,0.0,0.0,5.472990701706693e-193,8.567344566215106e-155,0.0,0.0,0.0,0.0,1.5807054531211776e-135,3.581322314049588e-23,0.0200001,6.0882479338843e-24,55.56,1.683221487603306e-23,3.58126315677235e-125,7.901035049376098e-154,0.0,2.8650578512396706e-24,7.916198648062126e-46,2.7269540601991215e-109,6.088859296277928e-52,6.114065865209686e-45,0.000255,2.1920167325558172e-41,1.8396201725118957e-71,1.6625122242065125e-64,0.0,1.3000200000000004e-22,1.0000000000000001e-07,1.242718842975207e-22
1.27998902558661e-25,3.650475883542993e-158,1.98566418758046e-119,2.0663962848584688e-39,0.02,2.0750661058899665e-95,7.453481437067348e-152,4.150132211779933e-95,2.3462286354207437e-271,2.2234335034710304e-250,0.0,0.0,0.0,0.0,0.0,1.8277484347215065e-190,2.1155124659130717e-152,0.0,0.0,0.0,0.0,3.903195517782169e-133,6.336143250688707e-23,0.0200001,1.0771443526170802e-23,55.56,2.9779873278236914e-23,4.9959560756079165e-123,1.950982362316204e-151,0.0,5.068914600550966e-24,2.4778775521940582e-45,5.1927818493033905e-108,1.905895549047215e-51,1.9137855470248588e-44,0.000255,6.861309698138335e-41,8.977102777753432e-71,8.1128394485883e-64,0.0,2.3000200000000007e-22,1.0000000000000002e-07,2.1986417079889815e-22
1.836501153997063e-25,7.167267042621474e-156,2.3609253023017843e-118,4.253863317519968e-39,0.02,1.1098841471707072e-94,1.8265485868467369e-149,2.2197682943414144e-94,5.795453722582432e-268,5.492135668310401e-247,0.0,0.0,0.0,0.0,0.0,6.440157284836998e-188,3.4464387502261915e-151,0.0,0.0,0.0,0.0,6.358801708307405e-132,9.090964187327827e-23,0.0200001,1.5454639118457306e-23,55.56,4.272753168044077e-23,5.940117761031593e-122,3.1783982948983914e-150,0.0,7.272771349862262e-24,5.100934657026069e-45,3.243297318189701e-107,3.923458062000832e-51,3.93970033518838e-44,0.000255,1.412462548879086e-40,2.5522043302995127e-70,2.3064929169601717e-63,0.0,3.300020000000001e-22,1.0000000000000004e-07,3.1545645730027557e-22
7.401622438101591e-25,3.0408020610678837e-152,8.767413838297672e-116,1.0815796144445689e-37,0.02,7.290390862316022e-92,2.7595690969188684e-146,1.4580781724632043e-91,1.9595645705133578e-263,1.8570063686550834e-242,0.0,0.0,0.0,0.0,0.0,3.9291740198909163e-184,5.424035330087248e-148,0.0,0.0,0.0,0.0,1.0007537525689346e-128,3.6639173553719047e-22,0.0200001,6.228659504132233e-23,55.56,1.7220411570247934e-22,2.2058923511223026e-119,5.0021909263544833e-147,0.0,2.9311338842975215e-23,1.2969544453698396e-43,1.9286493535147668e-104,9.97571370126275e-50,1.0017011012108494e-42,0.000255,3.5913018002766695e-39,1.5979962918792468e-68,1.4441504877924726e-61,0.0,1.3300020000000004e-21,1.0000000000000014e-07,1.2713793223140494e-21
