time / s,Au / M,Au(I)Cl2- / M,Au(II)Cl4^2- / M,Au(III)Cl4- / M,Au2Cl6^2- / M,Cl / M,Cl- / M,Cl2 / M,Cl2- / M,Cl2O / M,Cl2O2 / M,Cl2O3 / M,Cl2O4 / M,Cl3- / M,ClO / M,ClO- / M,ClO2 / M,ClO2- / M,ClO3 / M,ClO3- / M,ClOH- / M,H / M,H+ / M,H2 / M,H2O / M,H2O2 / M,HCl / M,HClO / M,HClO2 / M,HO2 / M,HO2- / M,HO3 / M,O / M,O- / M,O2 / M,O2- / M,O3 / M,O3- / M,O4 / M,OH / M,OH- / M,eh- / M
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200001,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255,0.0,0.0,0.0,0.0,0.0,1e-07,0.0
5.565121284104531e-29,0.0,0.0,7.812326457173522e-48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7548209366391196e-28,0.0200001,4.683195592286503e-29,55.56,1.294765840220386e-28,0.0,0.0,0.0,2.2038567493112958e-29,9.367994174441649e-54,0.0,7.205528935341956e-60,7.23535827659632e-53,0.000255,2.5940228250700093e-49,0.0,0.0,0.0,1.0000000000000002e-27,1e-07,9.559228650137745e-28
1.1130242568209062e-28,0.0,0.0,2.3436979371520564e-47,0.02,1.9699871498643727e-114,0.0,3.939974299728745e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.509641873278239e-28,0.0200001,9.366391184573006e-29,55.56,2.589531680440772e-28,0.0,0.0,0.0,4.4077134986225916e-29,2.8103982523324948e-53,0.0,2.1616586806025867e-59,2.1706074829788958e-52,0.000255,7.782068475210028e-49,8.180327058025726e-82,7.392772668613001e-75,0.0,2.0000000000000004e-27,1e-07,1.911845730027549e-27
5.566234308361352e-25,0.0,2.7413525699676035e-129,3.9077259282479885e-40,0.02,6.161136535235112e-96,0.0,1.2322273070470225e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2780430363897694e-163,0.0,0.0,0.0,0.0,2.358034722814174e-144,2.7553719008264486e-24,0.0200001,4.68413223140496e-25,55.56,1.29502479338843e-24,6.897277552253821e-133,1.1786455823134552e-162,0.0,2.2042975206611577e-25,4.685870967095524e-46,1.1931441114311268e-111,3.604205789623915e-52,3.619126427014214e-45,0.000255,1.2975302949207032e-41,1.0229500008683858e-70,9.244663146271067e-64,0.0,1.0002000000000001e-23,9.999999999999984e-08,9.56114049586777e-24
1.1131355592465884e-24,6.012205710854839e-166,6.857494413357009e-118,1.5627778079299703e-39,0.02,1.1086103720223211e-94,1.1023165067849384e-159,2.2172207440446423e-94,1.2285542548285851e-278,1.1642551155410948e-257,0.0,0.0,0.0,0.0,0.0,2.361586156959616e-199,6.393410928599679e-152,0.0,0.0,0.0,0.0,1.1796069879966004e-132,5.510192837465571e-24,0.0200001,9.367327823691463e-25,55.56,2.5897906336088158e-24,1.7253542211285957e-121,5.8961751148812084e-151,0.0,4.408154269972454e-25,1.873973582759282e-45,2.3867654805020575e-107,1.441394029842392e-51,1.4473610913563945e-44,0.000255,5.189083337090729e-41,6.136881583898076e-70,5.546058259302098e-63,0.0,2.0002000000000003e-23,9.999999999999968e-08,1.912036914600551e-23
1.6696476876570416e-24,2.2558550133741854e-154,1.2510539714578959e-116,3.516015668752494e-39,0.02,7.081857882905643e-94,5.514338876385732e-148,1.4163715765811286e-93,9.983063062166237e-266,9.460577091500178e-245,0.0,0.0,0.0,0.0,0.0,1.772016326383356e-187,1.6855966129025406e-150,0.0,0.0,0.0,0.0,3.109985523734721e-131,8.265013774104696e-24,0.0200001,1.4050523415977966e-24,55.56,3.8845564738292015e-24,3.147667530447027e-120,1.5545024265945023e-149,0.0,6.61201101928375e-25,4.216159486253166e-45,1.998403072550695e-106,3.2429203742565875e-51,3.256345367670988e-44,0.000255,1.167465920433076e-40,1.9431958257659294e-69,1.7561162149856883e-62,0.0,3.0002e-23,9.999999999999952e-08,2.867959779614325e-23
7.234768971761572e-24,1.677181036975895e-150,5.958233544516383e-114,1.0507782207729967e-37,0.02,5.869908453423024e-91,1.4167891654280005e-144,1.1739816906846049e-90,6.842892867971695e-261,6.484754739450089e-240,0.0,0.0,0.0,0.0,0.0,1.9721923877931713e-183,3.604554336179991e-147,0.0,0.0,0.0,0.0,6.650530571327833e-128,3.581322314049618e-23,0.0200001,6.0882479338843e-24,55.56,1.683221487603306e-23,1.499099055258121e-117,3.324216731033209e-146,0.0,2.8650578512396717e-24,1.2600195735282626e-43,1.5449508465061288e-103,9.691623763948908e-50,9.731745003507543e-43,0.000255,3.4890281450908134e-39,1.4306447212459007e-67,1.2929105546391916e-60,0.0,1.30002e-22,9.999999999999796e-08,1.242718842975203e-22
1.2799890255866102e-23,8.310052194635732e-147,1.9508028498380596e-110,2.8476289305758188e-37,0.02,6.602188871220358e-89,3.0344567613235654e-140,1.3204377742440716e-88,4.808769608102955e-253,4.557091877480804e-232,0.0,0.0,0.0,0.0,0.0,7.475285893425854e-179,2.091129507573945e-143,0.0,1.405923e-318,0.0,0.0,3.858208095002561e-124,6.336143250688789e-23,0.0200001,1.0771443526170802e-23,55.56,2.977987327823692e-23,4.90824451129241e-114,1.9284957438598117e-142,0.0,5.0689146005509696e-24,3.414676969638033e-43,1.6585039231470505e-101,2.6264484425814113e-49,2.637321374684287e-42,0.000255,9.455332523208255e-39,1.6339478933247176e-66,1.4766408778065679e-59,0.0,2.30002e-22,9.99999999999964e-08,2.19864170798897e-22
6.845110309691142e-23,2.716512091350723e-141,1.9497557734794932e-106,9.893940060033862e-36,0.02,7.899825222726543e-85,9.921045398280318e-135,1.5799650445453086e-84,1.5717571381169947e-244,1.4894957071277745e-223,0.0,0.0,0.0,0.0,0.0,1.307032044255655e-172,1.1177493767391713e-138,0.0,1.5029756217426983e-308,0.0,0.0,2.0622872365864792e-119,3.3884352617082766e-22,0.0200001,5.760339944903583e-23,55.56,1.592564573002755e-22,4.905610054002036e-110,1.0308184681704742e-137,0.0,2.710748209366403e-23,1.1864119267510401e-41,7.936488546096095e-98,9.125459845786619e-48,9.163237288392789e-41,0.000255,3.2852065881135564e-37,5.19633714206614e-64,4.6960639749805937e-57,0.0,1.2300020000000003e-21,9.999999999998074e-08,1.1757870358126336e-21
1.2410231593795674e-22,1.0990251324200061e-137,2.167279763731273e-104,2.7315443684183544e-35,0.02,6.810851190428869e-84,3.990443453749681e-131,1.3621702380857739e-83,6.963009135505907e-239,6.598584453873017e-218,0.0,0.0,0.0,0.0,0.0,9.530200825672682e-169,2.243665972134464e-136,0.0,2.430334726911767e-301,0.0,0.0,4.139643281210687e-117,6.1432561983479e-22,0.0200001,1.0443535537190087e-22,55.56,2.887330413223141e-22,5.4529031499273106e-108,2.069168964539374e-135,7.89887e-318,4.9146049586777167e-23,3.275476501248874e-41,2.083092730142702e-96,2.519380378265705e-47,2.529810071590259e-40,0.000255,9.069882676064534e-37,1.949740765522478e-63,1.7620310459449538e-56,0.0,2.2300020000000008e-21,9.999999999996508e-08,2.1317099008263395e-21
