,Charge test,Element test,Educt charges,Product charges,Educt Elements,Product Elements,Reaction
1,True,True,0,0,"{'H': 2, 'O': 1}","{'H': 2, 'O': 1}",H2O     --> H+ + OH-     
2,True,True,0,0,"{'H': 2, 'O': 1}","{'H': 2, 'O': 1}",H+ + OH-    --> H2O      
3,True,True,0,0,"{'H': 2, 'O': 2}","{'H': 2, 'O': 2}",H2O2     --> H+ + HO2-     
4,True,True,0,0,"{'H': 2, 'O': 2}","{'H': 2, 'O': 2}",H+ + HO2-    --> H2O2      
5,True,True,-1,-1,"{'H': 3, 'O': 3}","{'H': 3, 'O': 3}",H2O2 + OH-    --> HO2- + H2O     
6,True,True,-1,-1,"{'H': 3, 'O': 3}","{'H': 3, 'O': 3}",HO2- + H2O    --> H2O2 + OH-     
7,True,True,-1,-1,"{'H': 2, 'O': 1}","{'H': 2, 'O': 1}",eh- + H2O    --> H + OH-     
8,True,True,-1,-1,"{'H': 2, 'O': 1}","{'H': 2, 'O': 1}",H + OH-    --> eh- + H2O     
9,True,True,0,0,{'H': 1},{'H': 1},H      --> eh- + H+     
10,True,True,0,0,{'H': 1},{'H': 1},eh- + H+    --> H       
11,True,True,-1,-1,"{'H': 2, 'O': 2}","{'H': 2, 'O': 2}",OH + OH-    --> O- +  H2O     
12,True,True,-1,-1,"{'H': 2, 'O': 2}","{'H': 2, 'O': 2}",O- + H2O    --> OH + OH-     
13,True,True,0,0,"{'H': 1, 'O': 1}","{'H': 1, 'O': 1}",OH      --> O- + H+     
14,True,True,0,0,"{'H': 1, 'O': 1}","{'H': 1, 'O': 1}",O- + H+    --> OH       
15,True,True,0,0,"{'H': 1, 'O': 2}","{'H': 1, 'O': 2}",HO2     --> O2- + H+     
16,True,True,0,0,"{'H': 1, 'O': 2}","{'H': 1, 'O': 2}",O2- + H+    --> HO2      
17,True,True,-1,-1,"{'H': 2, 'O': 3}","{'H': 2, 'O': 3}",HO2 + OH-    --> O2- + H2O     
18,True,True,-1,-1,"{'H': 2, 'O': 3}","{'H': 2, 'O': 3}",O2- + H2O    --> HO2 + OH-     
19,True,True,-1,-1,"{'H': 1, 'O': 1}","{'H': 1, 'O': 1}",eh- + OH    --> OH-      
20,True,True,-1,-1,"{'H': 2, 'O': 2}","{'H': 2, 'O': 2}",eh- + H2O2    --> OH + OH-     
21,True,True,-2,-2,"{'H': 2, 'O': 3}","{'H': 2, 'O': 3}",eh- + O2- + H2O  --> HO2- + OH-     
22,True,True,-1,-1,"{'H': 1, 'O': 2}","{'H': 1, 'O': 2}",eh- + HO2    --> HO2-      
23,True,True,-1,-1,{'O': 2},{'O': 2},eh- + O2    --> O2-      
24,True,True,-2,-2,"{'H': 4, 'O': 2}","{'H': 4, 'O': 2}",2 eh- + 2 H2O   --> H2 + 2 OH-     
25,True,True,-1,-1,"{'H': 3, 'O': 1}","{'H': 3, 'O': 1}",eh- + H + H2O   --> H2 + OH-     
26,True,True,-2,-2,"{'H': 1, 'O': 2}","{'H': 1, 'O': 2}",eh- + HO2-    --> O- + OH-     
27,True,True,-2,-2,"{'H': 2, 'O': 2}","{'H': 2, 'O': 2}",eh- + O- + H2O   --> OH- + OH-     
28,True,True,-2,-2,"{'H': 2, 'O': 4}","{'H': 2, 'O': 4}",eh- + O3- + H2O  --> O2 + OH- + OH-    
29,True,True,-1,-1,{'O': 3},{'O': 3},eh- + O3    --> O3-      
