Reaction,Used
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,False
12,False
13,False
14,False
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,False
27,False
28,False
29,False
30,True
31,False
32,True
33,False
34,True
35,True
36,True
37,True
38,True
39,True
40,False
41,True
42,True
43,True
44,True
45,True
46,False
47,True
48,False
49,False
50,False
51,True
52,True
53,False
54,True
55,True
56,False
57,False
58,True
59,False
60,True
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,True
88,False
89,False
90,True
91,True
92,True
93,False
94,False
95,False
96,False
97,False
98,True
99,True
100,True
101,False
102,False
103,False
104,True
105,True
106,True
107,False
108,False
109,True
110,False
111,True
112,False
113,False
114,True
115,False
116,True
117,False
118,False
119,False
120,False
121,False
122,True
123,True
124,False
125,False
126,True
127,True
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,False
136,False
137,False
138,True
139,False
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,False
148,False
149,False
150,False
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,False
159,False
160,False
161,False
162,True
163,True
164,True
165,False
166,False
167,False
168,False
169,False
170,False
171,False
172,False
173,False
174,True
175,True
176,False
177,True
178,True
179,True
180,True
181,True
182,True
183,True
184,True
185,True
186,True
187,True
188,True
